instructions,false_label,true_label,trial_type,descriptor,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,required_response.keys,required_response.corr,required_response.rt,feedback_response.keys,feedback_response.corr,feedback_response.rt,participant,gender,age,frameRate,expName,date,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",FALSE,TRUE,1,inducer_1,0,0,0,0,5,0,10,0,i,1,0.184991121292,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",FALSE,TRUE,1,inducer_1,0,0,0,0,5,1,11,0,i,1,0.202655076981,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",FALSE,TRUE,1,inducer_1,0,0,0,0,6,0,12,0,i,1,0.202028036118,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",FALSE,TRUE,2,inducer_2,0,0,0,0,6,1,13,1,e,1,0.251730918884,i,1,0.219496011734,,,,59.8752617747,RRT,2016_May_01_1658,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",FALSE,TRUE,1,inducer_1,0,0,0,0,7,0,14,0,i,1,0.167328119278,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",FALSE,TRUE,2,inducer_2,0,0,0,0,7,1,15,1,e,1,0.267936944962,i,1,0.218414068222,,,,59.8752617747,RRT,2016_May_01_1658,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",FALSE,TRUE,2,inducer_2,0,0,0,0,8,0,16,1,e,1,0.251564025879,i,1,0.18510389328,,,,59.8752617747,RRT,2016_May_01_1658,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",FALSE,TRUE,2,inducer_2,0,0,0,0,8,1,17,1,e,1,0.202450037003,i,1,0.118505001068,,,,59.8752617747,RRT,2016_May_01_1658,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",FALSE,TRUE,1,inducer_1,0,0,0,0,9,0,18,0,i,1,0.13497209549,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",FALSE,TRUE,1,inducer_1,0,0,0,0,9,1,19,0,i,1,0.219241142273,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,4,target_2,0,1,1,1,0,0,0,1,e,1,0.286194086075,i,1,0.252965927124,,,,59.8752617747,RRT,2016_May_01_1658,
