instructions,stimulus,trial_type,true_label,false_label,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,required_response.keys,required_response.corr,required_response.rt,feedback_response.keys,feedback_response.corr,feedback_response.rt,participant,gender,age,frameRate,expName,date,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",Inaccurate,2,TRUE,FALSE,0,0,0,0,1,6,16,8,e,1,0.703754901886,i,1,0.569412946701,1,,,59.8221439992,RRT,2016_May_01_0130,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",Confirm,1,TRUE,FALSE,0,0,0,0,1,7,17,4,i,1,0.636208057404,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",Untrue,2,TRUE,FALSE,0,0,0,0,1,8,18,9,e,1,0.720153093338,i,1,0.654222011566,1,,,59.8221439992,RRT,2016_May_01_0130,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",Right,1,TRUE,FALSE,0,0,0,0,1,9,19,2,i,1,0.352887868881,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not boring,6,TRUE,FALSE,0,1,1,1,0,0,0,18,i,1,0.536076068878,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not a failure,6,TRUE,FALSE,0,1,1,1,0,1,1,16,i,1,0.334813117981,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am kind,3,TRUE,FALSE,0,1,1,1,0,2,2,4,i,1,0.519242048264,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am good,3,TRUE,FALSE,0,1,1,1,0,3,3,0,i,1,0.519510030746,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am dumb,4,TRUE,FALSE,0,1,1,1,0,4,4,9,e,1,0.838844060898,i,1,0.552467823029,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not worthless,6,TRUE,FALSE,0,1,1,1,0,5,5,17,i,1,0.503428936005,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not dumb,6,TRUE,FALSE,0,1,1,1,0,6,6,19,i,1,0.754076004028,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not kind,5,TRUE,FALSE,0,1,1,1,0,7,7,14,e,1,0.168563842773,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am a failure,4,TRUE,FALSE,0,1,1,1,0,8,8,6,e,1,0.922034025192,i,1,0.603306055069,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not valuable,5,TRUE,FALSE,0,1,1,1,0,9,9,11,e,1,0.904554128647,i,1,0.587095022202,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am interesting,3,TRUE,FALSE,0,1,1,1,0,10,10,3,i,1,0.588073015213,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not good,5,TRUE,FALSE,0,1,1,1,0,11,11,10,e,1,1.05614113808,i,1,0.771152019501,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am bad,4,TRUE,FALSE,0,1,1,1,0,12,12,5,e,1,0.753893852234,i,1,0.485888957977,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am valuable,3,TRUE,FALSE,0,1,1,1,0,13,13,1,i,1,0.536612987518,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am worthless,4,TRUE,FALSE,0,1,1,1,0,14,14,7,e,1,1.10454511642,i,1,0.786195039749,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am boring,4,TRUE,FALSE,0,1,1,1,0,15,15,8,e,1,0.871460914612,i,1,0.57085108757,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am worthwhile,3,TRUE,FALSE,0,1,1,1,0,16,16,2,i,1,0.804636955261,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not worthwhile,5,TRUE,FALSE,0,1,1,1,0,17,17,12,e,1,0.971166849136,i,1,0.753118991852,1,,,59.8221439992,RRT,2016_May_01_0130,
